"OTU_ID","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"esv_22389","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae",NA,NA
"esv_636","Fungi","Ascomycota",NA,NA,NA,NA,NA
"esv_8135","Fungi","Ascomycota",NA,NA,NA,NA,NA
"esv_12918","Fungi","Ascomycota",NA,NA,NA,NA,NA
"esv_327","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales",NA,NA,NA
"esv_20141","Fungi","Ascomycota",NA,NA,NA,NA,NA
"esv_22121","Fungi","Basidiomycota",NA,NA,NA,NA,NA
"esv_11286","Fungi",NA,NA,NA,NA,NA,NA
"esv_11287","Fungi","Ascomycota",NA,NA,NA,NA,NA
"esv_11284","Fungi","Ascomycota",NA,NA,NA,NA,NA
"esv_11283","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA
"esv_11280","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Meruliaceae","Bjerkandera","Bjerkandera sp "
"esv_11281","Fungi","Ascomycota","Sordariomycetes","Sordariales",NA,NA,NA
"esv_20069","Fungi",NA,NA,NA,NA,NA,NA
"esv_22837","Fungi","Basidiomycota",NA,NA,NA,NA,NA
"esv_11288","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Neodevriesiaceae",NA,NA
"esv_11289","Fungi","Ascomycota","Leotiomycetes","Helotiales",NA,NA,NA
"esv_5901","Fungi","Ascomycota","Sordariomycetes",NA,NA,NA,NA
"esv_16143","Fungi","Ascomycota",NA,NA,NA,NA,NA
"esv_13525","Fungi","Basidiomycota","Agaricomycetes",NA,NA,NA,NA
"esv_1471","Fungi","Ascomycota","Sordariomycetes",NA,NA,NA,NA
"esv_20060","Fungi",NA,NA,NA,NA,NA,NA
"esv_21008","Fungi","Ascomycota","Sordariomycetes","Hypocreales",NA,NA,NA
"esv_61","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium","Cladosporium halotolerans "
"esv_5779","Fungi","Ascomycota",NA,NA,NA,NA,NA
"esv_63","Fungi","Ascomycota",NA,NA,NA,NA,NA
"esv_62","Fungi","Ascomycota",NA,NA,NA,NA,NA
"esv_65","Fungi","Basidiomycota",NA,NA,NA,NA,NA
"esv_64","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Cylindrocarpon","Cylindrocarpon sp "
"esv_67","Fungi","Basidiomycota","Agaricomycetes","Trechisporales","Incertae_sedis","Sistotremastrum",NA
"esv_66","Fungi","Basidiomycota",NA,NA,NA,NA,NA
"esv_5770","Fungi","Ascomycota","Dothideomycetes",NA,NA,NA,NA
"esv_5771","Fungi","Ascomycota","Eurotiomycetes","Verrucariales","Verrucariaceae",NA,NA
"esv_5772","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae",NA,NA
"esv_5773","Fungi","Ascomycota",NA,NA,NA,NA,NA
"esv_5774","Fungi","Ascomycota","Sordariomycetes","Hypocreales",NA,NA,NA
"esv_8137","Fungi",NA,NA,NA,NA,NA,NA
"esv_5776","Fungi","Basidiomycota","Agaricomycetes",NA,NA,NA,NA
"esv_5777","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Steccherinaceae","Junghuhnia","Junghuhnia collabens "
"esv_16947","Fungi",NA,NA,NA,NA,NA,NA
"esv_23417","Fungi","Ascomycota",NA,NA,NA,NA,NA
"esv_17518","Fungi","Ascomycota",NA,NA,NA,NA,NA
"esv_10519","Fungi",NA,NA,NA,NA,NA,NA
"esv_12662","Fungi","Basidiomycota",NA,NA,NA,NA,NA
"esv_17783","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium",NA
"esv_2313","Fungi","Ascomycota","Archaeorhizomycetes","Archaeorhizomycetales","Archaeorhizomycetaceae","Archaeorhizomyces",NA
"esv_12664","Fungi",NA,NA,NA,NA,NA,NA
"esv_13527","Fungi",NA,NA,NA,NA,NA,NA
"esv_21988","Fungi","Ascomycota","Dothideomycetes","Dothideales","Aureobasidiaceae","Kabatiella","Kabatiella sp "
"esv_12667","Fungi","Basidiomycota","Agaricomycetes","Boletales","Suillaceae","Suillus","Suillus pungens "
"esv_17519","Fungi",NA,NA,NA,NA,NA,NA
"esv_10518","Fungi","Ascomycota","Dothideomycetes",NA,NA,NA,NA
"esv_12666","Fungi","Ascomycota","Sordariomycetes",NA,NA,NA,NA
"esv_23612","Fungi","Ascomycota",NA,NA,NA,NA,NA
"esv_15300","Fungi",NA,NA,NA,NA,NA,NA
"esv_23089","Fungi",NA,NA,NA,NA,NA,NA
"esv_23088","Fungi",NA,NA,NA,NA,NA,NA
"esv_22247","Fungi","Ascomycota","Sordariomycetes","Hypocreales",NA,NA,NA
"esv_23081","Fungi",NA,NA,NA,NA,NA,NA
"esv_23080","Fungi",NA,NA,NA,NA,NA,NA
"esv_23083","Fungi","Ascomycota",NA,NA,NA,NA,NA
"esv_2312","Fungi","Ascomycota",NA,NA,NA,NA,NA
"esv_23085","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Xylaria","Xylaria multiplex "
"esv_23084","Fungi","Ascomycota","Sordariomycetes","Hypocreales",NA,NA,NA
"esv_23087","Fungi","Basidiomycota",NA,NA,NA,NA,NA
"esv_23086","Fungi","Ascomycota","Sordariomycetes","Sordariales",NA,NA,NA
"esv_23415","Fungi","Ascomycota",NA,NA,NA,NA,NA
"esv_11759","Fungi","Ascomycota",NA,NA,NA,NA,NA
"esv_14150","Fungi","Basidiomycota","Agaricomycetes",NA,NA,NA,NA
"esv_11751","Fungi","Ascomycota",NA,NA,NA,NA,NA
"esv_11752","Fungi","Ascomycota","Sordariomycetes",NA,NA,NA,NA
"esv_11753","Fungi","Basidiomycota",NA,NA,NA,NA,NA
"esv_11754","Fungi","Ascomycota","Sordariomycetes","Hypocreales",NA,NA,NA
"esv_11755","Fungi",NA,NA,NA,NA,NA,NA
"esv_11756","Fungi",NA,NA,NA,NA,NA,NA
"esv_11757","Fungi","Ascomycota",NA,NA,NA,NA,NA
"esv_22388","Fungi","Ascomycota","Archaeorhizomycetes","Archaeorhizomycetales","Archaeorhizomycetaceae","Archaeorhizomyces",NA
"esv_10089","Fungi",NA,NA,NA,NA,NA,NA
"esv_13384","Fungi","Ascomycota",NA,NA,NA,NA,NA
"esv_10083","Fungi","Basidiomycota","Agaricomycetes",NA,NA,NA,NA
"esv_2311","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae",NA,NA
"esv_10081","Fungi",NA,NA,NA,NA,NA,NA
"esv_16942","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella",NA
"esv_21986","Fungi","Basidiomycota","Agaricomycetes",NA,NA,NA,NA
"esv_1475","Fungi","Basidiomycota","Agaricomycetes","Agaricales",NA,NA,NA
"esv_5309","Fungi","Ascomycota",NA,NA,NA,NA,NA
"esv_5308","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae",NA,NA
"esv_20213","Fungi","Ascomycota",NA,NA,NA,NA,NA
"esv_17399","Fungi","Ascomycota",NA,NA,NA,NA,NA
"esv_20215","Fungi",NA,NA,NA,NA,NA,NA
"esv_20214","Fungi","Basidiomycota",NA,NA,NA,NA,NA
"esv_20217","Fungi","Ascomycota",NA,NA,NA,NA,NA
"esv_20216","Fungi",NA,NA,NA,NA,NA,NA
"esv_2461","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Stachybotryaceae",NA,NA
"esv_2460","Fungi","Ascomycota","Sordariomycetes","Sordariales",NA,NA,NA
"esv_5303","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Xenasmataceae","Xenasmatella","Xenasmatella ardosiaca "
"esv_5302","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Entoloma",NA
"esv_5305","Fungi","Basidiomycota","Agaricomycetes",NA,NA,NA,NA
"esv_2464","Fungi","Ascomycota","Sordariomycetes",NA,NA,NA,NA
"esv_5307","Fungi","Ascomycota",NA,NA,NA,NA,NA
